ELISA-IE	EN_MENTION_0000000	Kiev	1443841d_3e1d_4699_98d3_16eb09da90f1:0-3	Kiev	GPE	NAM	0.166
ELISA-IE	EN_MENTION_0000001	Ukraine	1443841d_3e1d_4699_98d3_16eb09da90f1:46-52	Ukraine	GPE	NAM	0.166
ELISA-IE	EN_MENTION_0000002	Malaysian	1443841d_3e1d_4699_98d3_16eb09da90f1:67-75	Malaysia	GPE	NAM	0.163
ELISA-IE	EN_MENTION_0000003	Amsterdam	1443841d_3e1d_4699_98d3_16eb09da90f1:191-199	Amsterdam	GPE	NAM	0.165
ELISA-IE	EN_MENTION_0000004	Kuala Lumpur	1443841d_3e1d_4699_98d3_16eb09da90f1:204-215	Kuala_Lumpur	GPE	NAM	0.166
ELISA-IE	EN_MENTION_0000005	Ukraine	1443841d_3e1d_4699_98d3_16eb09da90f1:254-260	Ukraine	GPE	NAM	0.166
ELISA-IE	EN_MENTION_0000006	Shaktarsk	1443841d_3e1d_4699_98d3_16eb09da90f1:280-288	NIL	GPE	NAM	1.0
ELISA-IE	EN_MENTION_0000007	Ukrainian	1443841d_3e1d_4699_98d3_16eb09da90f1:351-359	Ukraine	GPE	NAM	0.163
ELISA-IE	EN_MENTION_0000008	Buk	1443841d_3e1d_4699_98d3_16eb09da90f1:395-397	Buk	LOC	NAM	0.128
ELISA-IE	EN_MENTION_0000009	Donetsk	1443841d_3e1d_4699_98d3_16eb09da90f1:508-514	Donetsk	GPE	NAM	0.190
ELISA-IE	EN_MENTION_0000010	Malaysian	1443841d_3e1d_4699_98d3_16eb09da90f1:533-541	Malaysia	GPE	NAM	0.163
ELISA-IE	EN_MENTION_0000011	Russian	1443841d_3e1d_4699_98d3_16eb09da90f1:568-574	Russian_Empire	GPE	NAM	0.126
ELISA-IE	EN_MENTION_0000012	Defense Ministry	1443841d_3e1d_4699_98d3_16eb09da90f1:576-591	Ministry_of_Defense_(Israel)	ORG	NAM	0.129
ELISA-IE	EN_MENTION_0000013	Russian	1443841d_3e1d_4699_98d3_16eb09da90f1:617-623	Russian_Empire	GPE	NAM	0.126
ELISA-IE	EN_MENTION_0000014	Defense Ministry	1443841d_3e1d_4699_98d3_16eb09da90f1:625-640	Ministry_of_Defense_(Israel)	ORG	NAM	0.129
ELISA-IE	EN_MENTION_0000015	Armed Forces of Ukraine	1443841d_3e1d_4699_98d3_16eb09da90f1:668-690	Armed_Forces_of_Ukraine	ORG	NAM	0.666
ELISA-IE	EN_MENTION_0000016	Itar-Tass	1443841d_3e1d_4699_98d3_16eb09da90f1:1046-1054	TASS	ORG	NAM	1.000
ELISA-IE	EN_MENTION_0000017	Interfax	1443841d_3e1d_4699_98d3_16eb09da90f1:1060-1067	Interfax	ORG	NAM	1.000
